"tempo","valence","liveness","instrumentalness","acousticness","speechiness","loudness","energy","danceability","WeekDate","track_name.x","on_chart"
77.888,0.374,0.605,0,0.482,0.163,-3.68,0.824,0.473,"2020-05-07","Deep Pockets",1
170.718,0.526,0.538,0,0.252,0.533,-6.808,0.82,0.41,"2020-05-07","When To Say When",1
86.318,0.316,0.0703,1.94e-05,0.342,0.047,-9.299,0.452,0.458,"2020-05-07","Not You Too (feat. Chris Brown)",1
145.074,0.554,0.325,0,0.281,0.116,-7.706,0.506,0.812,"2020-05-07","Desires (with Future)",1
86.46,0.5,0.182,0,0.201,0.224,-5.786,0.477,0.864,"2020-05-07","Time Flies",1
163.949,0.715,0.111,0,0.00606,0.287,-4.629,0.636,0.881,"2020-05-07","Landed",1
77.271,0.12,0.368,0,0.163,0.108,-5.532,0.373,0.825,"2020-05-07","Pain 1993 (with Playboi Carti)",1
85.687,0.505,0.424,0,0.28,0.351,-7.385,0.57,0.551,"2020-05-07","Losses",1
80.506,0.476,0.104,0,0.768,0.199,-7.837,0.477,0.787,"2020-05-07","From Florida With Love",1
106.869,0.729,0.155,0,0.423,0.343,-3.387,0.766,0.543,"2020-05-07","Demons (feat. Fivio Foreign & Sosa Geek)",1
144.064,0.239,0.109,0,0.292,0.0826,-4.151,0.792,0.749,"2020-05-07","War",1
122.947,0.0397,0.113,0,0.629,0.347,-7.507,0.449,0.735,"2020-09-10","Chicago Freestyle (feat. Giveon)",1
81.604,0.845,0.113,3.04e-06,0.289,0.209,-8.82,0.49,0.83,"2020-09-10","Toosie Slide",1
140.177,0.588,0.699,0,0.112,0.313,-6.157,0.741,0.701,"2021-09-16","Papi’s Home",1
143.07,0.147,0.131,0,0.614,0.297,-8.35,0.385,0.686,"2021-09-16","In The Bible (with Lil Durk & Giveon)",1
92.131,0.155,0.15,3.59e-05,0.354,0.287,-5.442,0.576,0.73,"2021-09-16","Love All (with JAY-Z)",1
130.019,0.246,0.39,3.05e-06,0.228,0.42,-9.059,0.56,0.568,"2021-09-16","TSU",1
91,0.0744,0.109,0,0.0518,0.326,-7.726,0.429,0.507,"2021-09-16","N 2 Deep",1
77.837,0.59,0.176,0,0.128,0.107,-6.15,0.69,0.518,"2021-09-16","Pipe Down",1
119.614,0.0908,0.109,0.0381,0.967,0.0407,-11.665,0.161,0.476,"2021-09-16","Yebba’s Heartbreak",1
89.901,0.141,0.11,0,0.225,0.298,-4.108,0.531,0.724,"2021-09-16","7am On Bridle Path",1
174.072,0.783,0.156,8.16e-06,0.179,0.26,-7.19,0.635,0.488,"2021-09-16","Race My Mind",1
100.053,0.689,0.107,0.0675,0.181,0.195,-8.735,0.485,0.843,"2021-09-16","Fountains (with Tems)",1
177.693,0.338,0.133,0,0.00645,0.0374,-6.77,0.466,0.32,"2021-09-16","Get Along Better",1
123.823,0.711,0.178,0,0.118,0.29,-6.001,0.851,0.519,"2021-09-16","You Only Live Twice (with Lil Wayne & Rick Ross)",1
150.026,0.0498,0.129,0.00504,0.402,0.0367,-8.704,0.493,0.59,"2021-09-16","IMY2 (with Kid Cudi)",1
87.073,0.165,0.103,0,0.213,0.135,-9.84,0.416,0.783,"2021-09-16","F*****g Fans",1
74.732,0.637,0.227,6.92e-06,0.812,0.249,-8.506,0.53,0.473,"2021-09-16","The Remorse",1
83.737,0.171,0.629,0,0.0181,0.113,-4.751,0.744,0.84,"2021-11-04","No Friends In The Industry",1
86.743,0.496,0.246,0,0.758,0.326,-7.012,0.667,0.423,"2021-11-11","Champagne Poetry",1
86.975,0.381,0.142,0,0.181,0.29,-8.726,0.438,0.767,"2021-11-11","Girls Want Girls (with Lil Baby)",1
167.937,0.292,0.215,0,0.0503,0.26,-8.545,0.465,0.666,"2022-04-07","Fair Trade (with Travis Scott)",1
136.008,0.331,0.323,4.5e-06,0.000619,0.141,-6.035,0.597,0.803,"2022-04-07","Way 2 Sexy (with Future & Young Thug)",1
145.887,0.153,0.0834,0,0.0635,0.324,-9.579,0.424,0.849,"2022-04-07","Knife Talk (with 21 Savage ft. Project Pat)",1
125.501,0.213,0.117,0.88,0.955,0.0389,-31.16,0.0218,0.193,"2022-06-23","Intro",1
118.989,0.349,0.11,0.00653,0.238,0.0703,-8.29,0.758,0.718,"2022-06-23","Falling Back",1
118.997,0.536,0.0847,0.195,0.000916,0.0622,-4.607,0.627,0.765,"2022-06-23","Texts Go Green",1
122.013,0.416,0.0935,0.00167,0.104,0.113,-12.653,0.283,0.883,"2022-06-23","Currents",1
122.584,0.201,0.115,0.0993,0.886,0.0531,-13.097,0.41,0.593,"2022-06-23","Flight's Booked",1
109.739,0.518,0.107,0.00964,0.444,0.122,-10.611,0.645,0.502,"2022-06-23","Overdrive",1
109.994,0.639,0.0895,0.00036,0.965,0.0435,-11.261,0.319,0.718,"2022-06-23","Down Hill",1
120.017,0.284,0.108,0.0917,0.0176,0.0593,-10.912,0.688,0.775,"2022-06-23","Tie That Binds",1
121.909,0.323,0.115,0.000104,0.512,0.0701,-11.596,0.482,0.6,"2022-06-23","A Keeper",1
123.985,0.484,0.118,8.53e-05,0.62,0.266,-11.227,0.276,0.826,"2022-06-23","Calling My Name",1
105.013,0.582,0.132,0,0.268,0.0649,-6.592,0.706,0.557,"2022-06-23","Liability",1
124.994,0.0557,0.148,0.0169,0.114,0.0561,-6.774,0.671,0.499,"2022-08-04","Massive",1
137.027,0.0774,0.0844,0.000217,0.0917,0.14,-14.63,0.495,0.853,"2022-08-04","Sticky",1
83.947,0.0398,0.196,1.2e-05,0.499,0.051,-11.754,0.34,0.385,"2022-11-10","I Guess It’s Fuck Me",1
131.016,0.225,0.0707,0,0.0127,0.323,-10.491,0.546,0.908,"2022-11-24","Major Distribution",1
158.014,0.329,0.39,0,0.0201,0.591,-8.368,0.358,0.841,"2022-11-24","On BS",1
142.11,0.395,0.388,0,0.0407,0.316,-8.434,0.433,0.849,"2022-11-24","BackOutsideBoyz",1
144.045,0.616,0.123,0,0.00274,0.198,-7.384,0.614,0.934,"2022-11-24","Privileged Rappers",1
118.352,0.111,0.267,0,0.234,0.119,-11.106,0.403,0.501,"2022-11-24","Hours In Silence",1
88.987,0.609,0.137,0,0.0782,0.327,-7.582,0.517,0.746,"2022-11-24","Treacherous Twins",1
103.976,0.252,0.317,0,0.0102,0.0699,-8.476,0.605,0.734,"2022-11-24","Circo Loco",1
122.03,0.445,0.353,0,0.0623,0.116,-6.652,0.63,0.749,"2022-11-24","Pussy & Millions (feat. Travis Scott)",1
120.041,0.112,0.251,0.000108,0.0104,0.266,-7.45,0.533,0.642,"2022-11-24","Broke Boys",1
76.815,0.25,0.422,0,0.18,0.393,-5.774,0.703,0.466,"2022-11-24","Middle of the Ocean",1
99.026,0.319,0.196,0,0.221,0.282,-6.257,0.575,0.799,"2022-11-24","Jumbotron Shit Poppin",1
82.537,0.0713,0.139,0.000422,0.0405,0.223,-6.749,0.504,0.704,"2022-11-24","More M’s",1
165.921,0.366,0.093,2.41e-06,0.000307,0.175,-4.711,0.673,0.529,"2023-05-18","Jimmy Cooks (feat. 21 Savage)",1
153.15,0.424,0.355,1.86e-06,0.0503,0.244,-9.342,0.52,0.561,"2023-05-18","Rich Flex",1
129.963,0.203,0.163,0,0.01,0.0512,-6.386,0.701,0.773,"2023-05-18","Spin Bout U",1
170.004,0.815,0.352,0,0.0128,0.06,-5.709,0.706,0.718,NA,"D4L",0
78.164,0.357,0.444,0,0.49,0.18,-3.712,0.821,0.491,NA,"Deep Pockets",0
170.343,0.529,0.538,0,0.216,0.53,-6.856,0.823,0.41,NA,"When To Say When",0
122.982,0.0396,0.113,0,0.619,0.326,-7.518,0.446,0.745,NA,"Chicago Freestyle (feat. Giveon)",0
86.83,0.352,0.072,5.43e-05,0.328,0.0419,-9.257,0.466,0.487,NA,"Not You Too (feat. Chris Brown)",0
81.615,0.829,0.113,4.58e-06,0.283,0.216,-8.899,0.469,0.83,NA,"Toosie Slide",0
145.034,0.526,0.325,0,0.282,0.111,-7.722,0.501,0.814,NA,"Desires (with Future)",0
86.455,0.514,0.181,0,0.231,0.247,-5.757,0.468,0.863,NA,"Time Flies",0
164.018,0.665,0.111,0,0.00644,0.287,-4.683,0.633,0.873,NA,"Landed",0
170.045,0.808,0.36,0,0.0108,0.065,-5.391,0.698,0.724,NA,"D4L",0
77.293,0.109,0.368,0,0.145,0.128,-5.654,0.385,0.815,NA,"Pain 1993 (with Playboi Carti)",0
85.41,0.459,0.459,0,0.299,0.357,-7.405,0.571,0.577,NA,"Losses",0
80.519,0.453,0.104,2.59e-06,0.803,0.176,-7.864,0.472,0.788,NA,"From Florida With Love",0
149.952,0.707,0.134,0,0.43,0.355,-3.436,0.762,0.505,NA,"Demons (feat. Fivio Foreign & Sosa Geek)",0
144.034,0.249,0.0959,0,0.301,0.0824,-4.183,0.783,0.75,NA,"War",0
158.192,0.525,0.244,1.3e-06,0.761,0.318,-7.055,0.662,0.434,NA,"Champagne Poetry",0
140.319,0.625,0.705,0,0.119,0.306,-6.109,0.735,0.695,NA,"Papi’s Home",0
86.994,0.392,0.142,0,0.195,0.29,-8.656,0.427,0.767,NA,"Girls Want Girls (with Lil Baby)",0
142.935,0.146,0.131,0,0.613,0.344,-8.473,0.368,0.712,NA,"In The Bible (with Lil Durk & Giveon)",0
92.154,0.147,0.15,0.000143,0.37,0.294,-5.53,0.556,0.703,NA,"Love All (with JAY-Z)",0
167.959,0.275,0.235,0,0.0591,0.252,-8.527,0.465,0.659,NA,"Fair Trade (with Travis Scott)",0
136.023,0.326,0.324,1.01e-05,0.000722,0.129,-6.064,0.596,0.803,NA,"Way 2 Sexy (with Future & Young Thug)",0
129.984,0.283,0.607,1.29e-05,0.233,0.431,-9.083,0.556,0.575,NA,"TSU",0
129.951,0.1,0.109,0,0.0545,0.364,-7.794,0.423,0.566,NA,"N 2 Deep",0
78.546,0.587,0.176,0,0.132,0.0979,-6.174,0.691,0.522,NA,"Pipe Down",0
119.396,0.0904,0.109,0.0385,0.968,0.0402,-11.665,0.162,0.492,NA,"Yebba’s Heartbreak",0
83.72,0.155,0.63,0,0.0192,0.217,-4.799,0.743,0.84,NA,"No Friends In The Industry",0
145.906,0.176,0.0714,2.2e-05,0.12,0.164,-10.804,0.358,0.852,NA,"Knife Talk (with 21 Savage ft. Project Pat)",0
90.13,0.133,0.11,0,0.221,0.309,-4.138,0.52,0.653,NA,"7am On Bridle Path",0
173.924,0.786,0.156,1.15e-05,0.172,0.257,-7.214,0.63,0.467,NA,"Race My Mind",0
100.043,0.69,0.107,0.0675,0.181,0.196,-8.735,0.485,0.841,NA,"Fountains (with Tems)",0
178.2,0.335,0.133,0,0.00641,0.0369,-6.756,0.464,0.32,NA,"Get Along Better",0
122.993,0.685,0.178,0,0.109,0.309,-6.135,0.835,0.517,NA,"You Only Live Twice (with Lil Wayne & Rick Ross)",0
149.999,0.0574,0.129,0.00727,0.382,0.0367,-8.784,0.477,0.572,NA,"IMY2 (with Kid Cudi)",0
87.003,0.173,0.103,0,0.215,0.135,-9.841,0.411,0.774,NA,"F*****g Fans",0
80.613,0.677,0.228,8.2e-06,0.813,0.191,-8.536,0.529,0.551,NA,"The Remorse",0
121.918,0.34,0.115,0.000111,0.507,0.0737,-11.655,0.482,0.606,NA,"A Keeper",0
123.928,0.429,0.116,0.000201,0.684,0.246,-11.241,0.259,0.848,NA,"Calling My Name",0
137.029,0.0735,0.0846,0.00167,0.13,0.131,-14.779,0.492,0.854,NA,"Sticky",0
104.982,0.58,0.132,0,0.229,0.0673,-6.614,0.706,0.533,NA,"Liability",0
156.026,0.415,0.093,5.47e-06,0.00028,0.184,-4.75,0.664,0.551,NA,"Jimmy Cooks (feat. 21 Savage)",0
125.501,0.213,0.117,0.88,0.955,0.0389,-31.16,0.0218,0.193,NA,"Intro",0
118.989,0.349,0.11,0.00653,0.238,0.0703,-8.29,0.758,0.718,NA,"Falling Back",0
118.997,0.536,0.0847,0.195,0.000916,0.0622,-4.607,0.627,0.765,NA,"Texts Go Green",0
122.013,0.416,0.0935,0.00167,0.104,0.113,-12.653,0.283,0.883,NA,"Currents",0
124.994,0.0557,0.148,0.0169,0.114,0.0561,-6.774,0.671,0.499,NA,"Massive",0
122.584,0.201,0.115,0.0993,0.886,0.0531,-13.097,0.41,0.593,NA,"Flight's Booked",0
109.739,0.518,0.107,0.00964,0.444,0.122,-10.611,0.645,0.502,NA,"Overdrive",0
109.994,0.639,0.0895,0.00036,0.965,0.0435,-11.261,0.319,0.718,NA,"Down Hill",0
120.017,0.284,0.108,0.0917,0.0176,0.0593,-10.912,0.688,0.775,NA,"Tie That Binds",0
153.17,0.48,0.107,9.89e-06,0.0499,0.213,-9.68,0.507,0.569,NA,"Rich Flex",0
130.975,0.171,0.0734,0,0.0117,0.33,-10.489,0.548,0.934,NA,"Major Distribution",0
158.066,0.351,0.396,0,0.0133,0.616,-8.929,0.372,0.848,NA,"On BS",0
142.091,0.453,0.321,1.7e-06,0.0556,0.371,-8.395,0.433,0.84,NA,"BackOutsideBoyz",0
144.055,0.687,0.129,1.74e-06,0.00249,0.182,-7.528,0.609,0.932,NA,"Privileged Rappers",0
129.953,0.184,0.158,0,0.00792,0.0504,-6.423,0.716,0.768,NA,"Spin Bout U",0
137.047,0.124,0.204,0,0.215,0.0979,-11.901,0.393,0.481,NA,"Hours In Silence",0
80.01,0.555,0.135,0,0.0841,0.426,-7.501,0.516,0.504,NA,"Treacherous Twins",0
103.977,0.277,0.312,0,0.0107,0.0739,-8.553,0.584,0.725,NA,"Circo Loco",0
122.027,0.404,0.331,0,0.0806,0.135,-6.659,0.617,0.752,NA,"Pussy & Millions (feat. Travis Scott)",0
161.987,0.0879,0.22,3.96e-05,0.0114,0.29,-7.47,0.53,0.571,NA,"Broke Boys",0
76.226,0.265,0.429,0,0.172,0.377,-5.832,0.696,0.598,NA,"Middle of the Ocean",0
198.276,0.357,0.208,0,0.239,0.46,-6.334,0.521,0.589,NA,"Jumbotron Shit Poppin",0
164.915,0.0904,0.145,0.00253,0.0414,0.146,-6.749,0.497,0.643,NA,"More M’s",0
180.862,0.189,0.163,2.53e-05,0.0461,0.376,-8.321,0.684,0.485,NA,"3AM on Glenwood",0
83.89,0.0782,0.105,2.61e-05,0.47,0.0603,-11.877,0.248,0.398,NA,"I Guess It’s Fuck Me",0
181.167,0.241,0.18,6.49e-06,0.0533,0.398,-8.327,0.692,0.475,NA,"3AM on Glenwood",0
